exp no,Run,Source Report,Infill Density (%),Nozzle Temperature (C),Infill Pattern,Force,Area,Tensile Stress
63,21,Plan pokusa 26.11.2024 (Third messurment),60,220,Triangle,122.107,12,10.17558333
64,22,Plan pokusa 6.11.2024 (First messurment),60,240,Triangle,128.8,12,10.73333333
65,22,Plan pokusa 15.11.2024 (Second messurment),60,240,Triangle,131.113,12,10.92608333
66,22,Plan pokusa 26.11.2024 (Third messurment),60,240,Triangle,131.861,12,10.98841667
67,23,Plan pokusa 6.11.2024 (First messurment),40,240,Grid,129.037,12,10.75308333
68,23,Plan pokusa 15.11.2024 (Second messurment),40,240,Grid,126.712,12,10.55933333
69,23,Plan pokusa 26.11.2024 (Third messurment),40,240,Grid,121.396,12,10.11633333
70,24,Plan pokusa 6.11.2024 (First messurment),80,240,Grid,186.448,12,15.53733333
71,24,Plan pokusa 15.11.2024 (Second messurment),80,240,Grid,209.897,12,17.49141667
72,24,Plan pokusa 26.11.2024 (Third messurment),80,240,Grid,231.547,12,19.29558333
73,25,Plan pokusa 6.11.2024 (First messurment),60,240,Triangle,140.003,12,11.66691667
74,25,Plan pokusa 15.11.2024 (Second messurment),60,240,Triangle,141.838,12,11.81983333
75,25,Plan pokusa 26.11.2024 (Third messurment),60,240,Triangle,140.672,12,11.72266667
76,26,Plan pokusa 6.11.2024 (First messurment),80,240,Triangle-Hexa,194.804,12,16.23366667
77,26,Plan pokusa 15.11.2024 (Second messurment),80,240,Triangle-Hexa,208.896,12,17.408
78,26,Plan pokusa 26.11.2024 (Third messurment),80,240,Triangle-Hexa,220.591,12,18.38258333
79,27,Plan pokusa 6.11.2024 (First messurment),60,260,Triangle,165.312,12,13.776
80,27,Plan pokusa 15.11.2024 (Second messurment),60,260,Triangle,167.173,12,13.93108333
81,27,Plan pokusa 26.11.2024 (Third messurment),60,260,Triangle,168.107,12,14.00891667
82,28,Plan pokusa 6.11.2024 (First messurment),74.1421,225.858,Triangle-Hexa,155.023,12,12.91858333
83,28,Plan pokusa 15.11.2024 (Second messurment),74.1421,225.858,Triangle-Hexa,175.861,12,14.65508333
84,28,Plan pokusa 26.11.2024 (Third messurment),74.1421,225.858,Triangle-Hexa,193.737,12,16.14475
85,29,Plan pokusa 6.11.2024 (First messurment),80,240,Triangle,201.167,12,16.76391667
86,29,Plan pokusa 15.11.2024 (Second messurment),80,240,Triangle,222.424,12,18.53533333
